date,open,low,high,close,volume,change,changePercent,vwap,changeOverTime
736545,152.6114,157.4221,159.2677,160.3574,27269584,0.579191,0.37,152.9696,1.3337743755970854
736548,153.5794,155.6257,158.1977,160.9955,26785096,1.5805,1.0070000000000001,156.9615,1.3888390363608059
736549,155.0853,156.9608,159.0812,161.0445,16591051,1.4136,0.892,156.9131,1.4034636315633648
736550,155.7307,155.8613,160.9562,159.1106,29536314,0.43194,0.27,154.4583,1.3269099876996515
736551,156.9706,155.017,157.0295,158.9437,21651726,0.638092,0.41700000000000004,154.6204,1.3592693654180132
736552,153.731,155.1937,156.4797,158.3057,21928502,0.049083999999999996,0.03,156.6305,1.3947755567967821
736555,156.4012,155.1054,158.02100000000002,155.7238,28611535,-1.9339,-1.2009999999999998,158.4503,1.4209923908763769
736556,157.7166,155.1005,157.5596,158.5413,31580798,-0.16688599999999998,-0.105,158.4329,1.4112543608244588
736557,158.9732,155.5373,156.843,157.91299999999998,71714046,-2.5818,-1.631,155.9968,1.3649617102062366
736558,157.5792,151.0118,155.3606,156.7252,44907361,2.8174,1.8090000000000002,155.2813,1.3595684805865098
736559,154.9679,149.9516,152.9457,155.3802,23760749,-0.6282770000000001,-0.396,153.752,1.3552252062521175
736562,154.6145,147.8017,149.4804,156.9509,24121452,-1.1878,-0.757,156.5987,1.3937271276092458
736563,155.3312,146.4273,149.0484,155.7631,28269435,-1.3449,-0.858,156.9319,1.3967228575876056
736564,156.1558,148.911,151.1001,155.822,20810632,1.5707,1.011,156.4989,1.3860859559324
736565,157.4909,150.7271,151.8844,153.2107,52951364,0.058899,0.038,157.0045,1.3949251143810295
736566,156.7252,149.9025,151.4535,150.5798,37511661,-2.6113,-1.676,158.2986,1.4190450900855531
736569,157.2062,149.2153,151.3063,149.1073,46645443,-2.6309,-1.7169999999999999,159.2277,1.4406180085644609
736570,157.1669,149.9221,151.6204,147.7919,44387336,-1.4725,-0.978,160.2254,1.4472107510537706
736571,160.7991,151.0903,152.2487,150.3344,36660045,-1.3155,-0.882,160.9698,1.4569487811056885
736572,160.6421,149.6669,151.0412,151.4044,25504227,2.5426,1.72,161.1144,1.4576965690269297
736573,161.7808,151.2277,152.5923,150.4719,22005455,1.07,0.7120000000000001,159.3977,1.4281833637026795
736577,160.75,151.7284,152.6414,151.2965,26299810,-0.9325950000000001,-0.616,158.7873,1.4256363064770643
736578,159.7291,152.6365,153.8586,150.9921,18698842,0.8246110000000001,0.5479999999999999,158.4421,1.4158998025229448
736579,159.1205,152.2585,155.1054,151.6499,16230293,-0.30432,-0.201,156.6122,1.3764974834647306
736580,157.91299999999998,152.8966,154.1041,150.6682,20163750,0.657725,0.436,158.3625,1.419495288936096
736583,157.5596,152.8769,154.4869,152.5432,21283769,-0.9816809999999999,-0.647,158.4781,1.4099068164684267
736584,159.6309,153.5445,154.3986,152.4548,17407558,1.875,1.244,156.0508,1.3917798268184218
736585,156.9411,154.7618,157.0687,152.985,16262923,-0.088352,-0.057999999999999996,155.8167,1.3712538114292516
736586,156.0772,156.3128,157.9228,153.0439,15617014,0.530107,0.348,156.6962,1.3952242295495263
736587,155.5668,156.6761,157.7657,153.6819,16905640,0.058901,0.039,156.2865,1.3770972398995218
736590,157.1767,152.18,154.2022,153.142,16125054,-0.539925,-0.35100000000000003,156.0816,1.3779961115028094
736591,156.5877,153.1028,154.86,154.1139,16394188,0.9718629999999999,0.635,152.8151,1.3381451196918503
736592,155.0072,152.6512,154.8011,157.5301,18997275,2.8371,1.841,150.9918,1.2979950127123947
736593,152.9457,153.3384,154.536,156.8331,16374164,0.57919,0.369,148.6246,1.2755232226301991
736594,149.2349,152.4254,154.6636,153.1224,42584166,-0.696991,-0.442,147.6496,1.2554489321893705
736597,147.2421,153.9077,154.938,153.3874,23974146,-3.7107,-2.366,150.0314,1.2942499687149949
736598,148.9993,155.7926,160.6028,153.3089,21984327,0.265054,0.17300000000000001,151.405,1.3105792151584243
736599,150.9823,160.7206,164.9909,154.2219,17757230,-0.078536,-0.051,150.3905,1.2963483531878657
736600,151.0707,163.8816,166.5419,153.5445,21207098,0.912963,0.596,150.6175,1.308932555633895
736601,150.4031,162.576,166.8266,154.5262,17000469,-0.6773600000000001,-0.439,150.7668,1.3042871139354093
736604,151.4339,162.252,165.41299999999998,160.0629,44454160,0.9816799999999999,0.639,151.7076,1.314325785253622
